Vaccine/Sample	Dose	Geography Type	Geography	Survey Year	Dimension Type	Dimension	Estimate (%)	95% CI (%)	Sample Size
HPV	≥1 Dose, Females	States/Local Areas	Hawaii	2008	Age	13-17 Years	40.2	32.3 to 48.6	162
HPV	≥1 Dose, Females	States/Local Areas	Idaho	2008	Age	13-17 Years	28.4	20.5 to 38.0	131
HPV	≥1 Dose, Females	States/Local Areas	Illinois	2008	Age	13-17 Years	27.0	20.8 to 34.2	373
HPV	≥1 Dose, Females	States/Local Areas	IL-City of Chicago	2008	Age	13-17 Years	28.6	20.8 to 37.9	173
HPV	≥1 Dose, Females	States/Local Areas	IL-Rest of state	2008	Age	13-17 Years	26.6	19.2 to 35.6	200
HPV	≥1 Dose, Females	States/Local Areas	Indiana	2008	Age	13-17 Years	26.1	19.8 to 33.6	173
HPV	≥1 Dose, Females	States/Local Areas	Iowa	2008	Age	13-17 Years	41.9	32.6 to 51.9	127
HPV	≥1 Dose, Females	States/Local Areas	Kansas	2008	Age	13-17 Years	30.1	21.8 to 40.0	137
HPV	≥1 Dose, Females	States/Local Areas	Kentucky	2008	Age	13-17 Years	26.3	18.8 to 35.4	133
HPV	≥1 Dose, Females	States/Local Areas	Louisiana	2008	Age	13-17 Years	36.6	28.3 to 45.6	179
HPV	≥1 Dose, Females	States/Local Areas	Maine	2008	Age	13-17 Years	40.3	32.2 to 49.0	169
HPV	≥1 Dose, Females	States/Local Areas	Maryland	2008	Age	13-17 Years	41.1	32.4 to 50.5	198
HPV	≥1 Dose, Females	States/Local Areas	Massachusetts	2008	Age	13-17 Years	53.3	43.8 to 62.6	152
HPV	≥1 Dose, Females	States/Local Areas	Michigan	2008	Age	13-17 Years	32.3	23.8 to 42.1	143
HPV	≥1 Dose, Females	States/Local Areas	Minnesota	2008	Age	13-17 Years	33.6	26.4 to 41.6	167
HPV	≥1 Dose, Females	States/Local Areas	Mississippi	2008	Age	13-17 Years	15.8	10.6 to 23.0	187
HPV	≥1 Dose, Females	States/Local Areas	Missouri	2008	Age	13-17 Years	31.6	23.8 to 40.7	158
HPV	≥1 Dose, Females	States/Local Areas	Montana	2008	Age	13-17 Years	17.8	12.0 to 25.5	142
HPV	≥1 Dose, Females	States/Local Areas	Nebraska	2008	Age	13-17 Years	29.5	23.0 to 37.0	186
HPV	≥1 Dose, Females	States/Local Areas	Nevada	2008	Age	13-17 Years	30.0	21.2 to 40.5	117
HPV	≥1 Dose, Females	States/Local Areas	New Hampshire	2008	Age	13-17 Years	54.4	44.3 to 64.1	151
HPV	≥1 Dose, Females	States/Local Areas	New Jersey	2008	Age	13-17 Years	43.0	34.3 to 52.1	187
HPV	≥1 Dose, Females	States/Local Areas	New Mexico	2008	Age	13-17 Years	48.3	38.4 to 58.4	143
HPV	≥1 Dose, Females	States/Local Areas	New York	2008	Age	13-17 Years	50.2	43.1 to 57.3	270
HPV	≥1 Dose, Females	States/Local Areas	NY-City of New York	2008	Age	13-17 Years	48.3	38.0 to 58.7	135
HPV	≥1 Dose, Females	States/Local Areas	NY-Rest of state	2008	Age	13-17 Years	51.5	41.9 to 61.0	135
HPV	≥1 Dose, Females	States/Local Areas	North Carolina	2008	Age	13-17 Years	34.4	26.3 to 43.6	157
HPV	≥1 Dose, Females	States/Local Areas	North Dakota	2008	Age	13-17 Years	28.7	21.9 to 36.7	177
HPV	≥1 Dose, Females	States/Local Areas	Ohio	2008	Age	13-17 Years	29.1	21.6 to 37.9	154
HPV	≥1 Dose, Females	States/Local Areas	Oklahoma	2008	Age	13-17 Years	35.5	27.3 to 44.7	141
HPV	≥1 Dose, Females	States/Local Areas	Oregon	2008	Age	13-17 Years	34.8	25.6 to 45.3	106
HPV	≥1 Dose, Females	States/Local Areas	Pennsylvania	2008	Age	13-17 Years	46.1	38.7 to 53.7	346
HPV	≥1 Dose, Females	States/Local Areas	PA-Philadelphia	2008	Age	13-17 Years	51.8	43.3 to 60.3	178
HPV	≥1 Dose, Females	States/Local Areas	PA-Rest of state	2008	Age	13-17 Years	45.2	36.8 to 53.9	168
HPV	≥1 Dose, Females	HHS Regions/National	United States	2008	Age	13-17 Years	37.2	35.1 to 39.3	8607
HPV	≥1 Dose, Females	HHS Regions/National	Region 1	2008	Age	13-17 Years	50.1	45.0 to 55.2	911
HPV	≥1 Dose, Females	HHS Regions/National	Region 2	2008	Age	13-17 Years	48.0	42.3 to 53.7	457
HPV	≥1 Dose, Females	HHS Regions/National	Region 3	2008	Age	13-17 Years	42.8	38.4 to 47.4	1176
HPV	≥1 Dose, Females	HHS Regions/National	Region 4	2008	Age	13-17 Years	28.9	25.3 to 32.8	1333
HPV	≥1 Dose, Females	HHS Regions/National	Region 5	2008	Age	13-17 Years	31.2	27.8 to 34.8	1123
HPV	≥1 Dose, Females	HHS Regions/National	Region 6	2008	Age	13-17 Years	32.8	26.8 to 39.4	1018
HPV	≥1 Dose, Females	HHS Regions/National	Region 7	2008	Age	13-17 Years	33.3	28.6 to 38.3	608
HPV	≥1 Dose, Females	HHS Regions/National	Region 8	2008	Age	13-17 Years	28.3	23.9 to 33.1	911
HPV	≥1 Dose, Females	HHS Regions/National	Region 9	2008	Age	13-17 Years	46.1	37.6 to 54.9	549
HPV	≥1 Dose, Females	States/Local Areas	Rhode Island	2008	Age	13-17 Years	54.7	44.2 to 64.8	152
HPV	≥1 Dose, Females	States/Local Areas	South Carolina	2008	Age	13-17 Years	18.7	13.2 to 25.9	183
HPV	≥1 Dose, Females	States/Local Areas	South Dakota	2008	Age	13-17 Years	45.9	37.9 to 54.1	178
HPV	≥1 Dose, Females	States/Local Areas	Tennessee	2008	Age	13-17 Years	29.6	21.5 to 39.3	172
HPV	≥1 Dose, Females	States/Local Areas	Texas	2008	Age	13-17 Years	31.6	23.2 to 41.5	370
HPV	≥1 Dose, Females	States/Local Areas	TX-Bexar County	2008	Age	13-17 Years	40.7	30.6 to 51.7	114
HPV	≥1 Dose, Females	States/Local Areas	TX-City of Houston	2008	Age	13-17 Years	30.2	20.3 to 42.4	102
HPV	≥1 Dose, Females	States/Local Areas	TX-Rest of state	2008	Age	13-17 Years	31.1	21.4 to 42.7	154
HPV	≥1 Dose, Females	HHS Regions/National	Region 10	2008	Age	13-17 Years	40.3	34.4 to 46.5	521
HPV	≥1 Dose, Females	States/Local Areas	Utah	2008	Age	13-17 Years	17.1	10.3 to 27.2	109
HPV	≥1 Dose, Females	States/Local Areas	Vermont	2008	Age	13-17 Years	50.4	40.9 to 59.8	144
HPV	≥1 Dose, Females	States/Local Areas	Virginia	2008	Age	13-17 Years	40.6	31.9 to 50.0	151
HPV	≥1 Dose, Females	States/Local Areas	Washington	2008	Age	13-17 Years	46.5	37.1 to 56.1	135
HPV	≥1 Dose, Females	States/Local Areas	West Virginia	2008	Age	13-17 Years	33.6	25.7 to 42.6	156
HPV	≥1 Dose, Females	States/Local Areas	Wisconsin	2008	Age	13-17 Years	47.0	37.0 to 57.1	113
HPV	≥1 Dose, Females	States/Local Areas	Wyoming	2008	Age	13-17 Years	36.2	27.7 to 45.7	124
HPV	≥1 Dose, Females	States/Local Areas	Alabama	2009	Age	13-17 Years	49.4	40.8 to 58.1	166
HPV	≥1 Dose, Females	States/Local Areas	Alaska	2009	Age	13-17 Years	40.8	31.7 to 50.6	136
HPV	≥1 Dose, Females	States/Local Areas	Arizona	2009	Age	13-17 Years	52.8	43.6 to 61.7	184
HPV	≥1 Dose, Females	States/Local Areas	Arkansas	2009	Age	13-17 Years	34.6	26.6 to 43.5	176
HPV	≥1 Dose, Females	States/Local Areas	California	2009	Age	13-17 Years	49.2	39.9 to 58.6	190
HPV	≥1 Dose, Females	States/Local Areas	Colorado	2009	Age	13-17 Years	52.7	43.7 to 61.4	198
HPV	≥1 Dose, Females	States/Local Areas	Connecticut	2009	Age	13-17 Years	61.2	52.7 to 69.2	191
HPV	≥1 Dose, Females	States/Local Areas	Delaware	2009	Age	13-17 Years	51.5	42.4 to 60.5	186
HPV	≥1 Dose, Females	States/Local Areas	District of Columbia	2009	Age	13-17 Years	60.0	51.4 to 68.0	198
HPV	≥1 Dose, Females	States/Local Areas	Florida	2009	Age	13-17 Years	39.3	31.3 to 48.0	216
HPV	≥1 Dose, Females	States/Local Areas	Georgia	2009	Age	13-17 Years	38.6	30.8 to 47.1	182
HPV	≥1 Dose, Females	States/Local Areas	Hawaii	2009	Age	13-17 Years	65.0	55.2 to 73.6	115
HPV	≥1 Dose, Females	States/Local Areas	Idaho	2009	Age	13-17 Years	30.2	21.0 to 41.4	105
HPV	≥1 Dose, Females	States/Local Areas	Illinois	2009	Age	13-17 Years	34.3	28.0 to 41.3	365
HPV	≥1 Dose, Females	States/Local Areas	IL-City of Chicago	2009	Age	13-17 Years	36.2	28.8 to 44.2	199
HPV	≥1 Dose, Females	States/Local Areas	IL-Rest of state	2009	Age	13-17 Years	33.8	26.2 to 42.4	166
HPV	≥1 Dose, Females	States/Local Areas	Indiana	2009	Age	13-17 Years	37.1	30.2 to 44.6	404
HPV	≥1 Dose, Females	States/Local Areas	Iowa	2009	Age	13-17 Years	42.4	34.3 to 51.1	174
HPV	≥1 Dose, Females	States/Local Areas	Kansas	2009	Age	13-17 Years	44.1	33.9 to 54.9	117
HPV	≥1 Dose, Females	States/Local Areas	Kentucky	2009	Age	13-17 Years	31.0	23.8 to 39.2	176
HPV	≥1 Dose, Females	States/Local Areas	Louisiana	2009	Age	13-17 Years	48.6	37.6 to 59.7	127
HPV	≥1 Dose, Females	States/Local Areas	Maine	2009	Age	13-17 Years	44.4	35.3 to 53.8	140
HPV	≥1 Dose, Females	States/Local Areas	Maryland	2009	Age	13-17 Years	39.6	28.7 to 51.6	110
HPV	≥1 Dose, Females	States/Local Areas	Massachusetts	2009	Age	13-17 Years	69.0	60.4 to 76.5	181
HPV	≥1 Dose, Females	States/Local Areas	Michigan	2009	Age	13-17 Years	39.0	31.5 to 47.1	220
HPV	≥1 Dose, Females	States/Local Areas	Minnesota	2009	Age	13-17 Years	44.9	36.5 to 53.5	164
HPV	≥1 Dose, Females	States/Local Areas	Mississippi	2009	Age	13-17 Years	22.9	16.5 to 30.9	191
HPV	≥1 Dose, Females	States/Local Areas	Missouri	2009	Age	13-17 Years	32.7	25.5 to 40.8	173
HPV	≥1 Dose, Females	States/Local Areas	Montana	2009	Age	13-17 Years	35.0	26.8 to 44.2	146
HPV	≥1 Dose, Females	States/Local Areas	Nebraska	2009	Age	13-17 Years	49.4	40.2 to 58.6	143
HPV	≥1 Dose, Females	States/Local Areas	Nevada	2009	Age	13-17 Years	39.0	30.2 to 48.4	159
HPV	≥1 Dose, Females	States/Local Areas	New Hampshire	2009	Age	13-17 Years	60.0	51.3 to 68.2	150
HPV	≥1 Dose, Females	States/Local Areas	New Jersey	2009	Age	13-17 Years	42.2	34.4 to 50.4	197
HPV	≥1 Dose, Females	States/Local Areas	New Mexico	2009	Age	13-17 Years	53.1	45.0 to 60.9	195
HPV	≥1 Dose, Females	States/Local Areas	New York	2009	Age	13-17 Years	48.8	41.4 to 56.3	262
HPV	≥1 Dose, Females	States/Local Areas	NY-City of New York	2009	Age	13-17 Years	43.2	32.4 to 54.7	137
HPV	≥1 Dose, Females	States/Local Areas	NY-Rest of state	2009	Age	13-17 Years	52.6	42.8 to 62.2	125
HPV	≥1 Dose, Females	States/Local Areas	North Carolina	2009	Age	13-17 Years	50.3	40.9 to 59.6	157
HPV	≥1 Dose, Females	States/Local Areas	North Dakota	2009	Age	13-17 Years	45.1	36.0 to 54.6	133
HPV	≥1 Dose, Females	States/Local Areas	Ohio	2009	Age	13-17 Years	40.6	31.8 to 49.9	176
HPV	≥1 Dose, Females	States/Local Areas	Oklahoma	2009	Age	13-17 Years	40.1	31.9 to 48.9	158
HPV	≥1 Dose, Females	States/Local Areas	Oregon	2009	Age	13-17 Years	52.9	45.2 to 60.5	200
HPV	≥1 Dose, Females	States/Local Areas	Pennsylvania	2009	Age	13-17 Years	53.2	43.8 to 62.4	262
HPV	≥1 Dose, Females	States/Local Areas	PA-Philadelphia	2009	Age	13-17 Years	58.2	49.1 to 66.8	148
HPV	≥1 Dose, Females	States/Local Areas	PA-Rest of state	2009	Age	13-17 Years	52.4	41.6 to 62.9	114
HPV	≥1 Dose, Females	HHS Regions/National	United States	2009	Age	13-17 Years	44.3	42.4 to 46.1	9621
HPV	≥1 Dose, Females	HHS Regions/National	Region 1	2009	Age	13-17 Years	63.6	59.0 to 67.8	1022
HPV	≥1 Dose, Females	HHS Regions/National	Region 2	2009	Age	13-17 Years	46.8	41.1 to 52.5	459
HPV	≥1 Dose, Females	HHS Regions/National	Region 3	2009	Age	13-17 Years	45.3	40.1 to 50.6	1049
HPV	≥1 Dose, Females	HHS Regions/National	Region 4	2009	Age	13-17 Years	39.8	36.4 to 43.4	1416
HPV	≥1 Dose, Females	HHS Regions/National	Region 5	2009	Age	13-17 Years	39.6	36.2 to 43.1	1507
HPV	≥1 Dose, Females	HHS Regions/National	Region 6	2009	Age	13-17 Years	39.7	35.1 to 44.6	1352
HPV	≥1 Dose, Females	HHS Regions/National	Region 7	2009	Age	13-17 Years	39.4	34.8 to 44.2	607
HPV	≥1 Dose, Females	HHS Regions/National	Region 8	2009	Age	13-17 Years	45.2	40.3 to 50.2	962
HPV	≥1 Dose, Females	HHS Regions/National	Region 9	2009	Age	13-17 Years	49.5	42.0 to 57.1	648
HPV	≥1 Dose, Females	States/Local Areas	Rhode Island	2009	Age	13-17 Years	68.3	58.9 to 76.4	176
HPV	≥1 Dose, Females	States/Local Areas	South Carolina	2009	Age	13-17 Years	28.5	21.0 to 37.4	148
HPV	≥1 Dose, Females	States/Local Areas	South Dakota	2009	Age	13-17 Years	62.4	53.2 to 70.8	142
HPV	≥1 Dose, Females	States/Local Areas	Tennessee	2009	Age	13-17 Years	43.6	35.4 to 52.1	180
HPV	≥1 Dose, Females	States/Local Areas	Texas	2009	Age	13-17 Years	37.6	31.3 to 44.5	696
HPV	≥1 Dose, Females	States/Local Areas	TX-Bexar County	2009	Age	13-17 Years	47.7	37.7 to 57.9	145
HPV	≥1 Dose, Females	States/Local Areas	TX-City of Houston	2009	Age	13-17 Years	41.7	29.8 to 54.7	112
HPV	≥1 Dose, Females	States/Local Areas	TX-Dallas County	2009	Age	13-17 Years	47.0	36.7 to 57.7	131
HPV	≥1 Dose, Females	States/Local Areas	TX-El Paso County	2009	Age	13-17 Years	57.8	49.0 to 66.1	153
HPV	≥1 Dose, Females	States/Local Areas	TX-Rest of state	2009	Age	13-17 Years	33.9	25.7 to 43.3	155
HPV	≥1 Dose, Females	States/Local Areas	U.S. Virgin Islands	2009	Age	13-17 Years	14.9	9.6 to 22.4	175
HPV	≥1 Dose, Females	HHS Regions/National	Region 10	2009	Age	13-17 Years	52.9	47.6 to 58.2	599
HPV	≥1 Dose, Females	States/Local Areas	Utah	2009	Age	13-17 Years	32.5	24.7 to 41.4	159
HPV	≥1 Dose, Females	States/Local Areas	Vermont	2009	Age	13-17 Years	60.7	52.5 to 68.4	184
HPV	≥1 Dose, Females	States/Local Areas	Virginia	2009	Age	13-17 Years	36.8	28.6 to 45.8	175
HPV	≥1 Dose, Females	States/Local Areas	Washington	2009	Age	13-17 Years	60.0	50.9 to 68.5	158
HPV	≥1 Dose, Females	States/Local Areas	West Virginia	2009	Age	13-17 Years	38.5	29.5 to 48.4	118
HPV	≥1 Dose, Females	States/Local Areas	Wisconsin	2009	Age	13-17 Years	49.2	40.7 to 57.6	178
HPV	≥1 Dose, Females	States/Local Areas	Wyoming	2009	Age	13-17 Years	43.6	35.8 to 51.7	184
HPV	≥1 Dose, Females	States/Local Areas	Alabama	2010	Age	13-17 Years	45.8	36.9 to 55.0	143
HPV	≥1 Dose, Females	States/Local Areas	Alaska	2010	Age	13-17 Years	40.8	32.0 to 50.3	134
HPV	≥1 Dose, Females	States/Local Areas	Arizona	2010	Age	13-17 Years	52.8	43.4 to 62.0	151
HPV	≥1 Dose, Females	States/Local Areas	Arkansas	2010	Age	13-17 Years	37.9	28.5 to 48.3	135
HPV	≥1 Dose, Females	States/Local Areas	California	2010	Age	13-17 Years	56.1	46.9 to 64.9	163
HPV	≥1 Dose, Females	States/Local Areas	Colorado	2010	Age	13-17 Years	52.5	43.5 to 61.4	166
HPV	≥1 Dose, Females	States/Local Areas	Connecticut	2010	Age	13-17 Years	57.9	49.4 to 65.9	182
HPV	≥1 Dose, Females	States/Local Areas	Delaware	2010	Age	13-17 Years	63.9	54.9 to 72.0	159
HPV	≥1 Dose, Females	States/Local Areas	District of Columbia	2010	Age	13-17 Years	57.5	48.6 to 66.0	176
HPV	≥1 Dose, Females	States/Local Areas	Florida	2010	Age	13-17 Years	41.1	31.5 to 51.4	147
HPV	≥1 Dose, Females	States/Local Areas	Georgia	2010	Age	13-17 Years	43.5	35.8 to 51.5	195
HPV	≥1 Dose, Females	States/Local Areas	Hawaii	2010	Age	13-17 Years	62.7	52.8 to 71.6	133
HPV	≥1 Dose, Females	States/Local Areas	Idaho	2010	Age	13-17 Years	28.8	21.6 to 37.3	152
HPV	≥1 Dose, Females	States/Local Areas	Illinois	2010	Age	13-17 Years	39.7	33.3 to 46.4	362
HPV	≥1 Dose, Females	States/Local Areas	IL-City of Chicago	2010	Age	13-17 Years	50.6	41.5 to 59.7	175
HPV	≥1 Dose, Females	States/Local Areas	IL-Rest of state	2010	Age	13-17 Years	36.8	29.4 to 44.9	187
HPV	≥1 Dose, Females	States/Local Areas	Indiana	2010	Age	13-17 Years	37.0	29.2 to 45.6	168
HPV	≥1 Dose, Females	States/Local Areas	Iowa	2010	Age	13-17 Years	48.2	38.9 to 57.7	128
HPV	≥1 Dose, Females	States/Local Areas	Kansas	2010	Age	13-17 Years	40.2	32.0 to 48.9	170
HPV	≥1 Dose, Females	States/Local Areas	Kentucky	2010	Age	13-17 Years	40.1	31.4 to 49.5	142
HPV	≥1 Dose, Females	States/Local Areas	Louisiana	2010	Age	13-17 Years	54.2	44.9 to 63.2	142
HPV	≥1 Dose, Females	States/Local Areas	Maine	2010	Age	13-17 Years	54.6	45.0 to 63.8	144
HPV	≥1 Dose, Females	States/Local Areas	Maryland	2010	Age	13-17 Years	41.6	32.6 to 51.3	140
HPV	≥1 Dose, Females	States/Local Areas	Massachusetts	2010	Age	13-17 Years	65.9	56.5 to 74.1	140
HPV	≥1 Dose, Females	States/Local Areas	Michigan	2010	Age	13-17 Years	49.4	39.6 to 59.3	145
HPV	≥1 Dose, Females	States/Local Areas	Minnesota	2010	Age	13-17 Years	51.3	42.0 to 60.5	139
HPV	≥1 Dose, Females	States/Local Areas	Mississippi	2010	Age	13-17 Years	34.0	26.2 to 42.6	176
HPV	≥1 Dose, Females	States/Local Areas	Missouri	2010	Age	13-17 Years	41.4	33.4 to 49.8	170
HPV	≥1 Dose, Females	States/Local Areas	Montana	2010	Age	13-17 Years	45.5	36.9 to 54.4	163
HPV	≥1 Dose, Females	States/Local Areas	Nebraska	2010	Age	13-17 Years	52.3	42.8 to 61.6	148
HPV	≥1 Dose, Females	States/Local Areas	Nevada	2010	Age	13-17 Years	47.4	38.9 to 56.2	165
HPV	≥1 Dose, Females	States/Local Areas	New Hampshire	2010	Age	13-17 Years	49.6	41.4 to 57.7	173
HPV	≥1 Dose, Females	States/Local Areas	New Jersey	2010	Age	13-17 Years	35.4	27.0 to 44.9	180
HPV	≥1 Dose, Females	States/Local Areas	New Mexico	2010	Age	13-17 Years	48.4	40.1 to 56.8	174
HPV	≥1 Dose, Females	States/Local Areas	New York	2010	Age	13-17 Years	56.2	49.5 to 62.7	329
HPV	≥1 Dose, Females	States/Local Areas	NY-City of New York	2010	Age	13-17 Years	62.7	54.3 to 70.4	182
HPV	≥1 Dose, Females	States/Local Areas	NY-Rest of state	2010	Age	13-17 Years	52.0	42.4 to 61.4	147
HPV	≥1 Dose, Females	States/Local Areas	North Carolina	2010	Age	13-17 Years	51.9	42.8 to 60.9	156
HPV	≥1 Dose, Females	States/Local Areas	North Dakota	2010	Age	13-17 Years	41.7	33.7 to 50.2	159
HPV	≥1 Dose, Females	States/Local Areas	Ohio	2010	Age	13-17 Years	44.0	35.3 to 53.0	150
HPV	≥1 Dose, Females	States/Local Areas	Oklahoma	2010	Age	13-17 Years	47.4	38.8 to 56.2	163
HPV	≥1 Dose, Females	States/Local Areas	Oregon	2010	Age	13-17 Years	54.1	44.4 to 63.4	129
HPV	≥1 Dose, Females	States/Local Areas	Pennsylvania	2010	Age	13-17 Years	52.3	44.7 to 59.7	360
HPV	≥1 Dose, Females	States/Local Areas	PA-Philadelphia	2010	Age	13-17 Years	60.2	51.8 to 68.0	185
HPV	≥1 Dose, Females	States/Local Areas	PA-Rest of state	2010	Age	13-17 Years	51.1	42.5 to 59.6	175
HPV	≥1 Dose, Females	HHS Regions/National	United States	2010	Age	13-17 Years	48.7	46.9 to 50.5	9220
HPV	≥1 Dose, Females	HHS Regions/National	Region 1	2010	Age	13-17 Years	61.1	56.2 to 65.7	953
HPV	≥1 Dose, Females	HHS Regions/National	Region 2	2010	Age	13-17 Years	49.6	44.1 to 55.1	509
HPV	≥1 Dose, Females	HHS Regions/National	Region 3	2010	Age	13-17 Years	50.4	45.8 to 55.1	1161
HPV	≥1 Dose, Females	HHS Regions/National	Region 4	2010	Age	13-17 Years	42.3	38.5 to 46.1	1272
HPV	≥1 Dose, Females	HHS Regions/National	Region 5	2010	Age	13-17 Years	45.0	41.3 to 48.7	1099
HPV	≥1 Dose, Females	HHS Regions/National	Region 6	2010	Age	13-17 Years	47.6	42.7 to 52.6	1438
HPV	≥1 Dose, Females	HHS Regions/National	Region 7	2010	Age	13-17 Years	44.1	39.4 to 48.8	616
HPV	≥1 Dose, Females	HHS Regions/National	Region 8	2010	Age	13-17 Years	48.7	43.9 to 53.6	970
HPV	≥1 Dose, Females	HHS Regions/National	Region 9	2010	Age	13-17 Years	55.4	48.0 to 62.5	612
HPV	≥1 Dose, Females	States/Local Areas	Rhode Island	2010	Age	13-17 Years	73.0	64.6 to 80.0	159
HPV	≥1 Dose, Females	States/Local Areas	South Carolina	2010	Age	13-17 Years	41.5	32.6 to 51.0	164
HPV	≥1 Dose, Females	States/Local Areas	South Dakota	2010	Age	13-17 Years	68.8	60.5 to 76.1	162
HPV	≥1 Dose, Females	States/Local Areas	Tennessee	2010	Age	13-17 Years	33.1	25.7 to 41.4	149
HPV	≥1 Dose, Females	States/Local Areas	Texas	2010	Age	13-17 Years	47.5	40.5 to 54.6	824
HPV	≥1 Dose, Females	States/Local Areas	TX-Bexar County	2010	Age	13-17 Years	44.2	36.4 to 52.2	203
HPV	≥1 Dose, Females	States/Local Areas	TX-City of Houston	2010	Age	13-17 Years	55.1	46.2 to 63.8	197
HPV	≥1 Dose, Females	States/Local Areas	TX-Dallas County	2010	Age	13-17 Years	34.4	24.6 to 45.7	135
HPV	≥1 Dose, Females	States/Local Areas	TX-El Paso County	2010	Age	13-17 Years	67.4	58.8 to 74.9	148
HPV	≥1 Dose, Females	States/Local Areas	TX-Rest of state	2010	Age	13-17 Years	47.7	38.3 to 57.2	141
HPV	≥1 Dose, Females	States/Local Areas	U.S. Virgin Islands	2010	Age	13-17 Years	22.5	14.5 to 33.1	116
HPV	≥1 Dose, Females	HHS Regions/National	Region 10	2010	Age	13-17 Years	57.8	52.7 to 62.8	590
HPV	≥1 Dose, Females	States/Local Areas	Utah	2010	Age	13-17 Years	39.2	31.0 to 48.0	170
HPV	≥1 Dose, Females	States/Local Areas	Vermont	2010	Age	13-17 Years	49.6	40.4 to 58.8	155
HPV	≥1 Dose, Females	States/Local Areas	Virginia	2010	Age	13-17 Years	54.0	44.3 to 63.5	162
HPV	≥1 Dose, Females	States/Local Areas	Washington	2010	Age	13-17 Years	69.3	61.5 to 76.2	175
HPV	≥1 Dose, Females	States/Local Areas	West Virginia	2010	Age	13-17 Years	42.4	34.3 to 51.0	164
HPV	≥1 Dose, Females	States/Local Areas	Wisconsin	2010	Age	13-17 Years	54.4	44.5 to 63.9	135
HPV	≥1 Dose, Females	States/Local Areas	Wyoming	2010	Age	13-17 Years	53.2	44.1 to 62.0	150
HPV	≥1 Dose, Females	States/Local Areas	Alabama	2011	Age	13-17 Years	49.5	40.4 to 58.7	180
HPV	≥1 Dose, Females	States/Local Areas	Alaska	2011	Age	13-17 Years	59.5	49.7 to 68.5	159
HPV	≥1 Dose, Females	States/Local Areas	Arizona	2011	Age	13-17 Years	55.3	44.9 to 65.2	191
HPV	≥1 Dose, Females	States/Local Areas	Arkansas	2011	Age	13-17 Years	36.1	24.9 to 49.0	152
HPV	≥1 Dose, Females	States/Local Areas	California	2011	Age	13-17 Years	65.0	57.9 to 71.5	270
HPV	≥1 Dose, Females	States/Local Areas	Colorado	2011	Age	13-17 Years	45.9	35.8 to 56.3	220
HPV	≥1 Dose, Females	States/Local Areas	Connecticut	2011	Age	13-17 Years	60.5	51.8 to 68.6	223
HPV	≥1 Dose, Females	States/Local Areas	Delaware	2011	Age	13-17 Years	60.2	51.3 to 68.5	203
